,CommG,Density,Albedo,plot,Site.code,bulkYear,combCond,combCondPlot,x,y,genotypeID
190,HighBoise,lo,white,6,Baughman2,2020,lo white HighBoise,lo white HighBoise 6,5,4,g21
191,HighBoise,lo,white,8,Baughman2,2020,lo white HighBoise,lo white HighBoise 8,7,3,g21
192,HighBoise,lo,white,1,Baughman2,2020,lo white HighBoise,lo white HighBoise 1,2,3,g21
193,HighBoise,lo,white,2,Baughman2,2020,lo white HighBoise,lo white HighBoise 2,3,4,g21
194,HighBoise,hi,black,1,Baughman2,2021,hi black HighBoise,hi black HighBoise 1,1,10,g21
195,HighBoise,hi,black,7,Baughman2,2021,hi black HighBoise,hi black HighBoise 7,8,7,g21
196,HighBoise,hi,black,10,Baughman2,2020,hi black HighBoise,hi black HighBoise 10,8,9,g21
197,HighBoise,hi,black,8,Baughman2,2020,hi black HighBoise,hi black HighBoise 8,8,5,g21
198,HighBoise,hi,black,4,Baughman2,2020,hi black HighBoise,hi black HighBoise 4,6,10,g21
199,HighBoise,hi,black,5,Baughman2,2020,hi black HighBoise,hi black HighBoise 5,6,2,g21
200,HighBoise,hi,black,3,Baughman2,2020,hi black HighBoise,hi black HighBoise 3,5,3,g21
201,HighBoise,hi,white,1,Baughman2,2020,hi white HighBoise,hi white HighBoise 1,6,6,g21
202,HighBoise,hi,white,9,Baughman2,2020,hi white HighBoise,hi white HighBoise 9,5,5,g21
203,HighBoise,hi,white,7,Baughman2,2020,hi white HighBoise,hi white HighBoise 7,6,5,g21
204,HighBoise,hi,white,2,Baughman2,2020,hi white HighBoise,hi white HighBoise 2,5,2,g21
205,HighBoise,hi,white,6,Baughman2,2020,hi white HighBoise,hi white HighBoise 6,4,9,g21
206,HighBoise,hi,white,4,Baughman2,2020,hi white HighBoise,hi white HighBoise 4,8,3,g21
207,HighBoise,hi,white,5,Baughman2,2020,hi white HighBoise,hi white HighBoise 5,9,9,g21
208,LowBoise,lo,black,6,Board1,2020,lo black LowBoise,lo black LowBoise 6,10,2,g27
209,LowBoise,lo,black,9,Board1,2020,lo black LowBoise,lo black LowBoise 9,14,5,g27
210,LowBoise,lo,black,3,Board1,2020,lo black LowBoise,lo black LowBoise 3,13,3,g27
211,LowBoise,lo,black,2,Board1,2020,lo black LowBoise,lo black LowBoise 2,7,1,g27
212,LowBoise,lo,black,7,Board1,2020,lo black LowBoise,lo black LowBoise 7,6,2,g27
213,LowBoise,lo,black,1,Board1,2021,lo black LowBoise,lo black LowBoise 1,15,4,g27
214,LowBoise,lo,black,10,Board1,2020,lo black LowBoise,lo black LowBoise 10,6,2,g27
215,LowBoise,lo,black,4,Board1,2020,lo black LowBoise,lo black LowBoise 4,13,3,g27
216,LowBoise,lo,black,5,Board1,2020,lo black LowBoise,lo black LowBoise 5,17,2,g27
217,LowBoise,lo,black,8,Board1,2020,lo black LowBoise,lo black LowBoise 8,5,1,g27
218,LowBoise,lo,white,2,Board1,2020,lo white LowBoise,lo white LowBoise 2,17,5,g27
219,LowBoise,lo,white,6,Board1,2020,lo white LowBoise,lo white LowBoise 6,5,3,g27
220,LowBoise,lo,white,9,Board1,2020,lo white LowBoise,lo white LowBoise 9,5,2,g27
221,LowBoise,lo,white,1,Board1,2020,lo white LowBoise,lo white LowBoise 1,4,1,g27
222,LowBoise,lo,white,5,Board1,2020,lo white LowBoise,lo white LowBoise 5,15,5,g27
223,LowBoise,lo,white,7,Board1,2020,lo white LowBoise,lo white LowBoise 7,14,4,g27
224,LowBoise,lo,white,8,Board1,2020,lo white LowBoise,lo white LowBoise 8,13,5,g27
225,LowBoise,lo,white,3,Board1,2020,lo white LowBoise,lo white LowBoise 3,4,5,g27
226,LowBoise,lo,white,4,Board1,2021,lo white LowBoise,lo white LowBoise 4,15,3,g27
227,LowBoise,hi,black,2,Board1,2020,hi black LowBoise,hi black LowBoise 2,8,10,g27
228,LowBoise,hi,black,1,Board1,2020,hi black LowBoise,hi black LowBoise 1,9,7,g27
229,LowBoise,hi,black,5,Board1,2020,hi black LowBoise,hi black LowBoise 5,6,9,g27
230,LowBoise,hi,black,4,Board1,2020,hi black LowBoise,hi black LowBoise 4,4,4,g27
231,LowBoise,hi,black,8,Board1,2020,hi black LowBoise,hi black LowBoise 8,1,2,g27
232,LowBoise,hi,black,7,Board1,2020,hi black LowBoise,hi black LowBoise 7,1,8,g27
233,LowBoise,hi,black,9,Board1,2020,hi black LowBoise,hi black LowBoise 9,5,8,g27
234,LowBoise,hi,black,3,Board1,2020,hi black LowBoise,hi black LowBoise 3,6,4,g27
235,LowBoise,hi,black,6,Board1,2020,hi black LowBoise,hi black LowBoise 6,2,1,g27
236,LowBoise,hi,white,6,Board1,2020,hi white LowBoise,hi white LowBoise 6,7,3,g27
237,LowBoise,hi,white,5,Board1,2020,hi white LowBoise,hi white LowBoise 5,1,2,g27
238,LowBoise,hi,white,4,Board1,2020,hi white LowBoise,hi white LowBoise 4,2,2,g27
239,LowBoise,hi,white,3,Board1,2020,hi white LowBoise,hi white LowBoise 3,8,4,g27
240,LowBoise,hi,white,10,Board1,2020,hi white LowBoise,hi white LowBoise 10,7,2,g27
241,LowBoise,hi,white,7,Board1,2020,hi white LowBoise,hi white LowBoise 7,1,8,g27
242,LowBoise,hi,white,8,Board1,2020,hi white LowBoise,hi white LowBoise 8,9,7,g27
243,LowBoise,hi,white,1,Board1,2020,hi white LowBoise,hi white LowBoise 1,5,5,g27
244,LowBoise,hi,white,2,Board1,2020,hi white LowBoise,hi white LowBoise 2,8,7,g27
245,HighBoise,lo,black,6,Board1,2020,lo black HighBoise,lo black HighBoise 6,1,1,g27
246,HighBoise,lo,black,1,Pyke 21,2020,lo black HighBoise,lo black HighBoise 1,11,1,g74
247,HighBoise,lo,black,5,Fleishman_01,2020,lo black HighBoise,lo black HighBoise 5,2,2,g45
248,HighBoise,lo,black,7,AAFC10,2020,lo black HighBoise,lo black HighBoise 7,18,3,g7
249,HighBoise,lo,black,2,Board1,2020,lo black HighBoise,lo black HighBoise 2,13,1,g27
250,HighBoise,lo,black,4,Schupp05,2020,lo black HighBoise,lo black HighBoise 4,14,2,g88
251,HighBoise,lo,black,10,Fleishman_05,2020,lo black HighBoise,lo black HighBoise 10,17,4,g46
252,HighBoise,lo,black,8,Board1,2020,lo black HighBoise,lo black HighBoise 8,7,5,g27
253,HighBoise,lo,black,9,Board1,2020,lo black HighBoise,lo black HighBoise 9,11,3,g27
254,HighBoise,lo,black,3,Board1,2020,lo black HighBoise,lo black HighBoise 3,8,5,g27
255,HighBoise,lo,white,10,Board1,2020,lo white HighBoise,lo white HighBoise 10,17,1,g27
256,HighBoise,lo,white,1,Board1,2020,lo white HighBoise,lo white HighBoise 1,9,2,g27
257,HighBoise,lo,white,5,Board1,2020,lo white HighBoise,lo white HighBoise 5,1,5,g27
258,HighBoise,lo,white,3,Board1,2020,lo white HighBoise,lo white HighBoise 3,11,2,g27
259,HighBoise,lo,white,4,Board1,2020,lo white HighBoise,lo white HighBoise 4,13,2,g27
260,HighBoise,lo,white,9,Board1,2020,lo white HighBoise,lo white HighBoise 9,12,2,g27
261,HighBoise,lo,white,6,Board1,2020,lo white HighBoise,lo white HighBoise 6,13,3,g27
262,HighBoise,lo,white,8,Board1,2020,lo white HighBoise,lo white HighBoise 8,18,2,g27
263,HighBoise,lo,white,2,Reed03,2020,lo white HighBoise,lo white HighBoise 2,5,1,g84
264,HighBoise,lo,white,7,Chambers06,2020,lo white HighBoise,lo white HighBoise 7,7,5,g34
265,HighBoise,hi,black,9,Board1,2020,hi black HighBoise,hi black HighBoise 9,1,4,g27
266,HighBoise,hi,black,7,AAFC10,2020,hi black HighBoise,hi black HighBoise 7,8,2,g7
267,HighBoise,hi,black,8,Pyle15,2020,hi black HighBoise,hi black HighBoise 8,8,2,g79
268,HighBoise,hi,black,10,Board1,2020,hi black HighBoise,hi black HighBoise 10,4,6,g27
269,HighBoise,hi,black,3,Board1,2020,hi black HighBoise,hi black HighBoise 3,4,3,g27
270,HighBoise,hi,black,6,Board1,2020,hi black HighBoise,hi black HighBoise 6,9,4,g27
271,HighBoise,hi,black,5,Board1,2020,hi black HighBoise,hi black HighBoise 5,3,8,g27
272,HighBoise,hi,black,4,Board1,2020,hi black HighBoise,hi black HighBoise 4,9,3,g27
273,HighBoise,hi,black,2,Board1,2020,hi black HighBoise,hi black HighBoise 2,6,8,g27
274,HighBoise,hi,black,1,Downs 01,2020,hi black HighBoise,hi black HighBoise 1,1,9,g42
