plantID,site,year,density,albedo,block,plot,x,y,genotype,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest
SS2022_653,SS,2022,hi,black,2,3,6,1,25,Y,138,FG,Y,NA,Y,FP,1,0.09,0.2,50,NA
SS2022_657,SS,2022,hi,black,2,3,6,5,37,Y,138,FG,Y,NA,Y,FP,1,0.08,0.19,50,NA
SS2022_658,SS,2022,hi,black,2,3,6,6,59,Y,138,FG,Y,NA,Y,FG_FP,3,0.21,0.33,87,NA
SS2022_659,SS,2022,hi,black,2,3,6,7,65,Y,138,FG,Y,NA,Y,FP,1,0.07,0.12,25,NA
SS2022_661,SS,2022,hi,black,2,3,6,9,30,Y,138,FG,Y,NA,Y,FP,1,0.03,0.06,22,NA
SS2022_663,SS,2022,hi,black,2,3,7,1,63,Y,138,FG,Y,NA,Y,FP,1,0.04,0.08,26,NA
SS2022_672,SS,2022,hi,black,2,3,7,10,56,Y,151,FG,Y,NA,Y,FP,1,0.02,0.05,15,NA
SS2022_664,SS,2022,hi,black,2,3,7,2,79,Y,165,FG,Y,NA,Y,FP,1,0.05,0.11,40,NA
SS2022_667,SS,2022,hi,black,2,3,7,5,89,Y,151,FG,Y,NA,Y,FG_FP,3,0.26,0.48,141,NA
SS2022_669,SS,2022,hi,black,2,3,7,7,31,Y,138,FG,Y,NA,Y,FP,1,0.01,0.01,4,NA
SS2022_673,SS,2022,hi,black,2,3,8,1,91,Y,138,FG,Y,NA,Y,FG_FP,6,0.28,0.66,236,NA
SS2022_682,SS,2022,hi,black,2,3,8,10,2,Y,NA,V1,Y,NA,Y,UNK,1,0.01,0,0,NA
SS2022_674,SS,2022,hi,black,2,3,8,2,6,Y,165,FG,Y,NA,Y,FP,1,0.06,0.15,54,NA
SS2022_675,SS,2022,hi,black,2,3,8,3,38,Y,138,FG,Y,NA,Y,FP,1,0.01,0.01,4,NA
SS2022_676,SS,2022,hi,black,2,3,8,4,28,Y,138,FG,Y,NA,Y,FP,2,0.19,0.17,42,NA
SS2022_610,SS,2022,hi,black,2,3,9,10,97,Y,138,FG,Y,NA,Y,FP,1,0.03,0.06,31,NA
SS2022_615,SS,2022,hi,black,2,3,9,3,102,Y,138,FG,Y,NA,Y,FP,2,0.13,0.22,58,NA
SS2022_616,SS,2022,hi,black,2,3,9,4,47,Y,138,FG,Y,NA,Y,FP,3,0.29,0.27,59,NA
SS2022_608,SS,2022,hi,black,2,3,9,5,71,Y,165,FG,Y,NA,Y,FP,1,0.06,0.09,27,NA
SS2022_685,SS,2022,hi,black,2,3,9,6,84,Y,138,FG,Y,NA,Y,FP,4,0.13,0.12,28,NA
SS2022_686,SS,2022,hi,black,2,3,9,7,90,Y,151,FG,Y,NA,Y,FP,1,0.05,0.09,25,NA
SS2022_687,SS,2022,hi,black,2,3,9,8,14,Y,138,FG,Y,NA,Y,FP,1,0.1,0.24,75,NA
SS2022_1082,SS,2022,hi,black,3,3,1,1,84,Y,151,FG,Y,NA,Y,FP,2,0.17,0.1,31,NA
SS2022_1094,SS,2022,hi,black,3,3,1,10,17,Y,151,FG,Y,NA,Y,FP,1,0.24,0.15,42,NA
SS2022_1083,SS,2022,hi,black,3,3,1,2,46,Y,138,FG,Y,NA,Y,FG_FP,2,0.24,0.11,33,NA
SS2022_1086,SS,2022,hi,black,3,3,1,5,102,Y,151,FG,Y,NA,Y,FG_FP,6,0.29,0.49,82,NA
SS2022_1087,SS,2022,hi,black,3,3,1,6,54,Y,151,FG,Y,NA,Y,FP,1,0.08,0.05,17,NA
SS2022_1092,SS,2022,hi,black,3,3,1,8,5,Y,151,FG,Y,NA,Y,FP,1,0.17,0.12,36,NA
SS2022_1023,SS,2022,hi,black,3,3,10,1,93,Y,151,FG,Y,NA,Y,FP,1,0.02,0.001,2,NA
