"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"CH_2022_162",NA,74,NA,NA,NA,-4,87,NA,NA,NA
"CH_2022_182",NA,74,129,NA,NA,-20,NA,NA,NA,NA
"CH_2022_120",NA,74,148,NA,NA,-16,NA,NA,NA,NA
"CH_2022_140",NA,74,101,114,NA,-25,NA,NA,NA,NA
"CH_2022_160",NA,74,148,NA,-1,-9,NA,NA,NA,NA
"CH_2022_180",NA,74,129,NA,NA,-10,NA,NA,NA,NA
"CH_2022_200",NA,74,129,NA,-1,-27,NA,NA,NA,NA
"CH_2022_103",NA,74,148,NA,NA,-8,NA,NA,NA,NA
"CH_2022_123",NA,74,87,101,-1,NA,NA,NA,NA,NA
"CH_2022_143",NA,74,148,NA,-1,-8,NA,NA,NA,NA
"CH_2022_163",NA,74,87,NA,NA,NA,NA,NA,NA,NA
"CH_2022_183",NA,87,148,NA,NA,NA,NA,NA,NA,NA
"CH_2022_104",NA,74,148,NA,-1,-16,NA,NA,NA,NA
"CH_2022_124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_144",NA,74,101,NA,NA,-27,NA,NA,NA,NA
"CH_2022_164",NA,74,129,NA,NA,-14,NA,NA,NA,NA
"CH_2022_184",NA,74,129,NA,-1,-5,NA,NA,NA,NA
"CH_2022_105",NA,74,148,NA,NA,-3,87,NA,NA,NA
"CH_2022_125",NA,74,148,NA,-1,-11,NA,NA,NA,NA
"CH_2022_145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_165",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_185",NA,74,148,NA,-1,-3,87,NA,NA,NA
"CH_2022_106",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_126",NA,74,129,NA,-1,-35,NA,NA,NA,NA
"CH_2022_146",NA,74,NA,NA,NA,-7,87,NA,NA,NA
"CH_2022_166",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_186",NA,74,NA,NA,-1,-2,87,NA,NA,NA
"CH_2022_107",NA,74,NA,NA,-1,-5,NA,NA,NA,NA
"CH_2022_127",NA,74,NA,NA,NA,-17,NA,NA,NA,NA
"CH_2022_147",NA,74,NA,NA,-2,-21,NA,NA,NA,NA
"CH_2022_167",NA,74,NA,NA,NA,-2,87,NA,NA,NA
"CH_2022_187",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_108",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_128",NA,74,NA,NA,NA,-9,NA,NA,NA,NA
"CH_2022_148",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_168",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_188",NA,74,160,NA,-1,-16,NA,NA,NA,NA
"CH_2022_109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_129",NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"CH_2022_149",NA,74,NA,NA,-1,-4,NA,NA,NA,NA
"CH_2022_169",NA,74,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_189",NA,74,NA,NA,NA,-9,NA,NA,NA,NA
"CH_2022_301",NA,74,129,NA,-2,-11,NA,NA,NA,NA
"CH_2022_321",NA,74,129,NA,NA,-21,NA,NA,NA,NA
"CH_2022_341",NA,74,101,NA,NA,NA,NA,NA,NA,NA
"CH_2022_361",NA,74,NA,NA,NA,-10,NA,NA,NA,NA
"CH_2022_381",NA,87,148,NA,-1,-4,87,NA,NA,NA
"CH_2022_310",NA,74,87,NA,NA,NA,NA,NA,NA,NA
"CH_2022_330",NA,74,NA,NA,NA,-8,NA,NA,NA,NA
"CH_2022_350",NA,74,NA,NA,NA,-2,NA,NA,NA,NA
"CH_2022_370",NA,74,NA,NA,NA,-4,NA,NA,NA,NA
"CH_2022_390",NA,74,129,NA,-1,-6,NA,NA,NA,NA
"CH_2022_311",NA,74,NA,NA,NA,-6,NA,NA,NA,NA
"CH_2022_331",NA,74,129,NA,NA,-3,NA,NA,NA,NA
"CH_2022_351",NA,74,NA,NA,NA,-3,NA,NA,NA,NA
"CH_2022_371",NA,74,129,NA,-1,-6,NA,NA,NA,NA
"CH_2022_391",NA,74,NA,NA,-2,-13,NA,NA,NA,NA
"CH_2022_312",NA,74,NA,NA,NA,-2,87,NA,NA,NA
"CH_2022_332",NA,74,NA,NA,-1,-3,NA,NA,NA,NA
"CH_2022_352",NA,74,NA,NA,NA,-22,NA,NA,NA,NA
"CH_2022_372",NA,74,NA,NA,-2,-1,160,NA,NA,NA
