block,plot,x,y,genotype,growout,harvest_date,density,albedo,live_harvest,v_harvest,harvest,tillers,biomass_whole,inflor_mass,note_standard_harvest,plantID,site,year,first_flower,live,v,herbivory,frost_heave,note_standard
4,1,8,4,54,2020,2023-06-26,low,white,Y,FG,Y,8,0.81,0.75,smut,SS2023_982,SS,2023,177,Y,FG,NA,NA,NA
4,1,10,2,95,2021,2023-07-10,low,white,Y,FP,Y,6,0.841,1.328,NA,SS2023_989,SS,2023,191,Y,FP,NA,NA,NA
4,1,10,3,96,2020,2023-07-10,low,white,Y,FP,Y,3,0.788,1.093,NA,SS2023_990,SS,2023,191,Y,FP,NA,NA,NA
4,1,3,2,58,2020,2023-07-10,low,white,Y,FP,Y,3,0.51,0.94,NA,SS2023_992,SS,2023,191,Y,FP,NA,NA,NA
4,1,4,4,36,2020,2023-07-10,low,white,Y,FP,Y,8,1.05,1.7,NA,SS2023_999,SS,2023,191,Y,FP,NA,NA,NA
1,1,1,1,66,2020,NA,high,black,Y,V3+,N,NA,NA,0,wrong_spp,SS2023_1,SS,2023,0,Y,V3+,NA,NA,NA
1,1,1,10,88,2020,NA,high,black,N,NA,NA,NA,NA,0,NA,SS2023_10,SS,2023,0,N,NA,NA,NA,NA
1,2,2,4,43,2020,NA,high,white,N,NA,NA,NA,NA,0,NA,SS2023_100,SS,2023,0,N,NA,NA,NA,NA
4,1,5,1,47,2020,NA,low,white,N,NA,NA,NA,NA,0,NA,SS2023_1001,SS,2023,0,N,NA,NA,NA,NA
4,1,5,3,66,2020,NA,low,white,N,NA,NA,NA,NA,0,NA,SS2023_1003,SS,2023,0,N,NA,NA,NA,NA
4,1,5,4,79,2020,NA,low,white,N,NA,NA,NA,NA,0,NA,SS2023_1004,SS,2023,0,N,NA,NA,NA,NA
1,2,2,5,88,2020,NA,high,white,N,NA,NA,NA,NA,0,NA,SS2023_101,SS,2023,0,N,NA,NA,NA,NA
4,1,6,5,9,2020,NA,low,white,N,NA,NA,NA,NA,0,NA,SS2023_1010,SS,2023,0,N,NA,NA,NA,NA
4,1,7,3,59,2020,NA,low,white,N,V1,NA,NA,NA,0,NA,SS2023_1013,SS,2023,0,N,V1,NA,NA,NA
4,1,7,5,38,2021,NA,low,white,N,NA,NA,NA,NA,0,NA,SS2023_1015,SS,2023,0,N,NA,NA,NA,NA
4,1,8,1,87,2020,NA,low,white,N,NA,NA,NA,NA,0,NA,SS2023_1016,SS,2023,0,N,NA,NA,NA,NA
