"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_200",NA,96,NA,NA,NA,-9,NA,NA,NA,NA
"Boise2022_201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_202",NA,-21,131,188,NA,NA,NA,NA,NA,NA
"Boise2022_203",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_205",NA,-21,NA,NA,-1,-1,NA,NA,NA,NA
"Boise2022_206",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_207",NA,-21,131,143,NA,NA,NA,NA,NA,NA
"Boise2022_208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_210",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_211",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_212",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_213",NA,-21,174,NA,NA,NA,NA,NA,NA,NA
"Boise2022_214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_216",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_217",NA,-21,131,180,NA,NA,NA,NA,NA,NA
"Boise2022_218",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_220",NA,-21,115,NA,NA,-3,NA,NA,NA,NA
"Boise2022_221",NA,96,143,157,NA,-12,NA,NA,NA,NA
"Boise2022_222",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_223",NA,-21,NA,NA,NA,-4,NA,NA,NA,NA
"Boise2022_224",NA,96,NA,NA,NA,-1,NA,NA,NA,NA
"Boise2022_225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_226",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_227",NA,131,180,NA,NA,NA,NA,NA,NA,NA
"Boise2022_228",NA,96,115,NA,NA,NA,NA,NA,NA,NA
"Boise2022_229",NA,-21,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_230",NA,96,131,NA,NA,-8,NA,NA,NA,NA
"Boise2022_231",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_232",NA,-21,NA,NA,NA,-3,NA,NA,NA,NA
"Boise2022_233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
