"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1019",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1019",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1019",142,"N",NA,NA,NA,"N","D"
"CH_2023_1019",156,"N",NA,NA,NA,"N","D"
"CH_2023_1019",171,"N",NA,NA,NA,"N","D"
"CH_2023_1019",187,"N",NA,NA,NA,"N","D"
"CH_2023_1019",199,"N",NA,NA,NA,"N","D"
"CH_2023_102",100,"Y","V3+",NA,NA,"N","D"
"CH_2023_102",114,"Y","V3+",NA,NA,"N","D"
"CH_2023_102",129,"Y","V3+",NA,NA,"N","D"
"CH_2023_102",142,"N",NA,NA,NA,"N","D"
"CH_2023_102",156,"N",NA,NA,NA,"N","D"
"CH_2023_102",171,"N",NA,NA,NA,"N","D"
"CH_2023_102",187,"N",NA,NA,NA,"N","D"
"CH_2023_102",199,"N",NA,NA,NA,"N","D"
"CH_2023_1020",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1020",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1020",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1020",142,"N",NA,NA,NA,"N","D"
"CH_2023_1020",156,"N",NA,NA,NA,"N","D"
"CH_2023_1020",171,"N",NA,NA,NA,"N","D"
"CH_2023_1020",187,"N",NA,NA,NA,"N","D"
"CH_2023_1020",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1021",101,"Y","V2",NA,NA,"N","E"
"CH_2023_1021",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1021",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1021",142,"N",NA,NA,NA,"N","D"
"CH_2023_1021",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1021",171,"N",NA,NA,NA,"N","D"
"CH_2023_1021",187,"N",NA,NA,NA,"N","D"
"CH_2023_1021",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1022",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1022",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1022",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1022",142,"N",NA,NA,NA,"N","D"
"CH_2023_1022",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1022",171,"N",NA,NA,NA,"N","D"
"CH_2023_1022",187,"N",NA,NA,NA,"N","D"
"CH_2023_1022",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1023",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1023",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1023",129,"Y","V3",NA,NA,"N","D"
"CH_2023_1023",142,"N",NA,NA,NA,"N","D"
"CH_2023_1023",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1023",171,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1023",187,"N",NA,NA,NA,"N","D"
"CH_2023_1023",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1024",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1024",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1024",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1024",142,"N",NA,NA,NA,"N","D"
"CH_2023_1024",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1024",171,"N",NA,NA,NA,"N","D"
"CH_2023_1024",187,"N",NA,NA,NA,"N","D"
"CH_2023_1024",199,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1025",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1025",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1025",129,"Y","V2",NA,NA,"N","D, ANTHILL"
"CH_2023_1025",142,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1025",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1025",171,"N",NA,NA,NA,"N","D"
"CH_2023_1025",187,"N",NA,NA,NA,"N","D"
"CH_2023_1025",199,"N",NA,NA,NA,"N","D"
"CH_2023_1026",101,"Y","V1",NA,NA,"N","E"
"CH_2023_1026",114,"N",NA,NA,NA,"N","D"
"CH_2023_1026",129,"Y","V1",NA,NA,"N","D, ANTHILL"
"CH_2023_1026",142,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1026",156,"N",NA,NA,NA,"N","D, ANTHILL"
"CH_2023_1026",171,"N",NA,NA,NA,"N","D"
"CH_2023_1026",187,"N",NA,NA,NA,"N","D"
