site_code,longitude,latitude,genotype,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19
Copeland10,-118.74,42.77,41,6.050000000000011,11.3,0.31300001144409184,861.6,27.05000000000001,-9.149999999999977,36.2,-9.149999999999977,17.350000000000023,17.55000000000001,-4.5499999999999545,510.90000000000003,67.5,14.700000000000001,39.300000000000004,175.20000000000002,52.1,73.3,144.8
Downs01,-119.430272,46.38145,42,13.550000000000011,12.100000000000001,0.3190000057220459,919.5,34.450000000000045,-3.4499999999999886,37.9,-3.4499999999999886,24.450000000000045,25.350000000000023,1.650000000000034,198.20000000000002,29.700000000000003,4,47.800000000000004,82.4,16.7,24.6,74.10000000000001
Downs02,-119.53334,46.25045,43,11.950000000000045,12,0.33599998950958254,852.2,32.150000000000034,-3.5499999999999545,35.7,-3.5499999999999545,22.350000000000023,23.05000000000001,1.2500000000000568,215.20000000000002,32.6,4.5,47.400000000000006,88.9,18.5,26.5,81.4
Downs03,-120.3671,45.9663,44,8.750000000000057,10.100000000000001,0.31700000762939456,737.9000000000001,27.350000000000023,-4.449999999999989,31.8,-4.449999999999989,18.250000000000057,18.450000000000045,-0.3499999999999659,472.40000000000003,82.10000000000001,9.1,55.2,212.70000000000002,40.1,48.300000000000004,196.20000000000002
Fleishman_01,-119.49,38.47,45,7.050000000000011,13.4,0.3930000066757202,746.3000000000001,26.450000000000045,-7.649999999999977,34.1,-7.649999999999977,16.850000000000023,16.950000000000045,-1.9499999999999886,413.20000000000005,67.10000000000001,12.5,58.1,183.3,37.800000000000004,41.900000000000006,183.3
Fleishman_05,-117.27,39.12,46,6.550000000000011,11.100000000000001,0.29200000762939454,962,27.150000000000034,-10.849999999999966,38,-10.849999999999966,18.850000000000023,19.250000000000057,-5.349999999999966,235.4,29.900000000000002,12.600000000000001,22,75.5,44.5,50.800000000000004,57.7
Fleishman_07,-117.44,39.17,47,5.850000000000023,11.4,0.3019999980926514,945.3000000000001,26.55000000000001,-11.249999999999943,37.800000000000004,-11.249999999999943,18.05000000000001,18.450000000000045,-5.749999999999943,244.8,33,13.5,23,78.7,50.1,57.5,56.6
Getts1,-120.5,41.17,48,8.850000000000023,12,0.3390000104904175,824.6,29.450000000000045,-5.849999999999966,35.300000000000004,-5.849999999999966,19.650000000000034,19.850000000000023,-1.0499999999999545,347.1,47,6.1000000000000005,46.7,129.20000000000002,27.400000000000002,34.7,118.4
Getts3,-120.67,40.43,49,10.650000000000034,12.100000000000001,0.3380000114440918,817.7,31.350000000000023,-4.249999999999943,35.6,-4.249999999999943,21.250000000000057,21.450000000000045,0.6500000000000341,386.90000000000003,61.800000000000004,3.9000000000000004,65,174.8,19.400000000000002,22.700000000000003,173.20000000000002
Getts4,-120.28,41.71,50,2.750000000000057,11.100000000000001,0.31600000858306887,835.2,22.650000000000034,-12.449999999999989,35.1,-12.449999999999989,13.650000000000034,13.750000000000057,-7.449999999999989,761.8000000000001,117.5,11.5,52,307.90000000000003,48.900000000000006,68.7,277.40000000000003
