block,density,gravel,x,y,seed_count_total,inflor_mass,biomass_whole,tillers,standard_note,all_seed_drop,herbivory,physical_damage,seed_drop,smut,plantID,site,genotype,first_flower,live,v
7,lo,white,7,5,360,1.08,0.47,7,NA,NA,NA,NA,NA,NA,Boise2022_6735,WI,2,130,Y,FG
7,lo,white,8,1,26,0.05,0.08,2,NA,NA,NA,NA,NA,NA,Boise2022_6736,WI,14,154,Y,FP
7,lo,white,8,2,112,0.18,0.19,3,NA,NA,NA,NA,NA,NA,Boise2022_6737,WI,24,154,Y,FG
7,lo,white,8,4,525,1.05,1.01,6,NA,NA,NA,NA,NA,NA,Boise2022_6739,WI,77,130,Y,FG
7,lo,white,8,5,50,0.08,0.07,2,NA,NA,NA,NA,NA,NA,Boise2022_6740,WI,96,154,Y,FG
8,hi,white,1,4,54,0.13,0.1,1,NA,NA,NA,NA,NA,NA,Boise2022_6804,WI,38,130,Y,FP
8,hi,white,1,5,54,0.13,0.1,1,NA,NA,NA,NA,NA,NA,Boise2022_6805,WI,43,130,Y,FG
8,hi,white,1,7,48,0.08,0.09,3,NA,NA,NA,NA,NA,NA,Boise2022_6807,WI,27,153,Y,FB
8,hi,white,1,8,31,0.07,0.06,1,NA,NA,NA,NA,NA,NA,Boise2022_6808,WI,54,130,Y,FG
8,hi,white,10,10,2,0.01,0.01,1,NA,NA,NA,NA,NA,NA,Boise2022_6900,WI,70,153,Y,FB
8,hi,white,10,3,23,0.03,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6893,WI,1,153,Y,FP
8,hi,white,10,4,7,0.02,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6894,WI,89,153,Y,FB
8,hi,white,10,8,54,0.15,0.09,2,NA,NA,NA,NA,NA,NA,Boise2022_6898,WI,65,130,Y,FG
8,hi,white,10,9,9,0.02,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6899,WI,88,130,Y,FP
8,hi,white,2,1,102,0.47,0.2,4,NA,NA,NA,NA,NA,NA,Boise2022_6811,WI,101,130,Y,FP
8,hi,white,2,10,31,0.05,0.06,2,NA,NA,NA,NA,NA,NA,Boise2022_6820,WI,91,130,Y,FG
8,hi,white,2,4,90,0.18,0.11,2,NA,NA,NA,NA,NA,NA,Boise2022_6814,WI,34,130,Y,FP
8,hi,white,2,5,38,0.09,0.05,1,NA,NA,NA,NA,NA,NA,Boise2022_6815,WI,8,130,Y,FG
8,hi,white,2,6,49,0.12,0.08,2,NA,NA,NA,NA,NA,NA,Boise2022_6816,WI,9,130,Y,FG
8,hi,white,2,7,26,0.05,0.03,1,NA,NA,NA,NA,NA,NA,Boise2022_6817,WI,100,153,Y,FB
8,hi,white,3,3,23,0.04,0.06,1,NA,NA,NA,NA,NA,NA,Boise2022_6823,WI,14,130,Y,FP
8,hi,white,3,4,14,0.03,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6824,WI,17,153,Y,FB
8,hi,white,3,6,14,0.03,0.02,1,NA,NA,NA,NA,NA,NA,Boise2022_6826,WI,19,153,Y,FB
