"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2023_1994","CH",2023,7,1,2,10,25,2020,"high","black"
"CH_2023_1930","CH",2023,7,1,2,2,96,2020,"high","black"
"CH_2023_1938","CH",2023,7,1,2,3,42,2021,"high","black"
"CH_2023_1946","CH",2023,7,1,2,4,81,2020,"high","black"
"CH_2023_1954","CH",2023,7,1,2,5,75,2020,"high","black"
"CH_2023_1962","CH",2023,7,1,2,6,11,2020,"high","black"
"CH_2023_1970","CH",2023,7,1,2,7,51,2020,"high","black"
"CH_2023_1978","CH",2023,7,1,2,8,43,2020,"high","black"
"CH_2023_1986","CH",2023,7,1,2,9,44,2020,"high","black"
"CH_2023_1923","CH",2023,7,1,3,1,46,2020,"high","black"
"CH_2023_1995","CH",2023,7,1,3,10,74,2020,"high","black"
"CH_2023_1931","CH",2023,7,1,3,2,95,2021,"high","black"
"CH_2023_1939","CH",2023,7,1,3,3,5,2020,"high","black"
"CH_2023_1947","CH",2023,7,1,3,4,8,2020,"high","black"
"CH_2023_1955","CH",2023,7,1,3,5,64,2020,"high","black"
"CH_2023_1963","CH",2023,7,1,3,6,55,2020,"high","black"
"CH_2023_1971","CH",2023,7,1,3,7,93,2020,"high","black"
"CH_2023_1979","CH",2023,7,1,3,8,45,2020,"high","black"
"CH_2023_1987","CH",2023,7,1,3,9,30,2020,"high","black"
"CH_2023_1924","CH",2023,7,1,4,1,61,2020,"high","black"
"CH_2023_1996","CH",2023,7,1,4,10,62,2020,"high","black"
"CH_2023_1932","CH",2023,7,1,4,2,7,2020,"high","black"
"CH_2023_1940","CH",2023,7,1,4,3,76,2020,"high","black"
"CH_2023_1948","CH",2023,7,1,4,4,33,2020,"high","black"
"CH_2023_1956","CH",2023,7,1,4,5,53,2020,"high","black"
"CH_2023_1964","CH",2023,7,1,4,6,82,2020,"high","black"
"CH_2023_1972","CH",2023,7,1,4,7,63,2020,"high","black"
"CH_2023_1980","CH",2023,7,1,4,8,96,2020,"high","black"
"CH_2023_1988","CH",2023,7,1,4,9,34,2020,"high","black"
"CH_2023_1925","CH",2023,7,1,5,1,31,2020,"high","black"
"CH_2023_1997","CH",2023,7,1,5,10,77,2020,"high","black"
"CH_2023_1933","CH",2023,7,1,5,2,42,2021,"high","black"
"CH_2023_1941","CH",2023,7,1,5,3,104,2020,"high","black"
