SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Planting date,Emergence census date,Emerged (Yes or No),BRTE neighbors ,Final census date,Seeds (Yes or No),Seeds produced,Total plant dry mass (g),Seed mass (g),Seed drop (Y or N),Unfilled seeds,Smut seeds,Notes (Herbivore damage? Disease?)
Woodruff,S,control,3.2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,6,0.010,0.011,N,0,0,
Woodruff,S,control,3.4,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,3.6,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,3.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,4,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,4.2,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,4.4,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,0,0.005,0.000,Y,0,0,
Woodruff,S,control,4.6,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,4.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,5,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,5.2,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,5.4,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,5.6,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,5.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,6,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,6.2,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,3,0.006,0.003,N,2,0,
Woodruff,S,control,6.4,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,6.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,2,0.003,0.001,N,2,0,
Woodruff,S,control,6.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,7,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,2,0.003,0.001,N,2,0,
Woodruff,S,control,7.2,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,7.4,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,7.6,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,7.8,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,2,0.006,0.004,N,0,0,
Woodruff,S,control,8,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,8.2,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,8.4,9/15/2021,11/5/2021,Y,0,6/29/2022,N,0,,,,,,
Woodruff,S,control,8.6,9/15/2021,11/5/2021,Y,0,6/29/2022,Y,4,0.008,0.008,N,0,0,
Woodruff,S,control,8.8,9/15/2021,11/5/2021,N,0,6/29/2022,N,0,,,,,,
